tag,total pct of presence,pct of presence in 2017,pct of presence in 2018
short-sleeved-shirt,0.51,0.3,0.64
jacquard,0.51,0.15,0.73
trapeze-skirt,0.51,0.23,0.68
prince-of-wales,0.48,1.22,0.0
floral-transparency,0.48,0.61,0.39
graffiti,0.48,0.91,0.2
dance,0.48,1.06,0.1
conceptual,0.48,1.22,0.0
degrade,0.48,0.68,0.34
paperbag,0.48,0.46,0.49
bird,0.48,0.68,0.34
heart,0.48,0.53,0.44
sweater-dress,0.48,0.23,0.64
oversize-knit,0.48,0.23,0.64
floral-pants,0.48,0.68,0.34
mustard,0.48,0.61,0.39
chiffon,0.48,0.0,0.78
silver-pants,0.48,0.61,0.39
red-coat,0.48,0.08,0.73
bra-as-top,0.48,0.0,0.78
menswear-shirting,0.48,0.0,0.78
sandals,0.48,0.08,0.73
orange-jacket,0.45,0.53,0.39
pink-shirt,0.45,0.46,0.44
black-jumper,0.45,0.15,0.64
navy-blue-jacket,0.45,0.23,0.59
blacktie,0.45,0.76,0.24
punk,0.45,0.53,0.39
green-pants,0.45,0.08,0.68
train,0.45,0.23,0.59
chambray,0.45,1.14,0.0
androgynous,0.45,0.0,0.73
black-white-polka-dot,0.45,0.0,0.73
biker,0.42,0.91,0.1
light-blue-denim,0.42,0.76,0.2
blue-jumper,0.42,0.15,0.59
floral-coat,0.42,0.08,0.64
mini-floral,0.42,0.38,0.44
raw-denim,0.42,0.68,0.24
leather-dress,0.42,0.3,0.49
clueless,0.42,0.84,0.15
zip-embellished,0.42,0.08,0.64
opposite-style,0.42,0.08,0.64
bold-polka-dot,0.42,0.0,0.68
schoolboy,0.42,0.0,0.68
quadrille,0.39,0.76,0.15
hybrid,0.39,0.76,0.15
leopard,0.39,0.53,0.29
nautical,0.39,0.38,0.39
khaki-pants,0.39,0.23,0.49
powder-pink,0.39,0.38,0.39
patterned-tailoring,0.39,0.61,0.24
pvc,0.39,0.91,0.05
small-fringes,0.39,0.38,0.39
mandarin-collar,0.39,0.46,0.34
insect,0.39,0.68,0.2
check-pants,0.39,0.23,0.49
leg-of-mutton-sleeve,0.36,0.68,0.15
culotte,0.36,0.76,0.1
beige-skirt,0.36,0.53,0.24
long-length-gloves,0.36,0.23,0.44
side-stripes,0.36,0.23,0.44
flamenco,0.36,0.53,0.24
side-striped-pants,0.36,0.23,0.44
leather-pants,0.36,0.68,0.15
fringed-dress,0.36,0.3,0.39
yellow-skirt,0.36,0.38,0.34
check-suit,0.36,0.3,0.39
openwork,0.36,0.0,0.59
skinny,0.36,0.23,0.44
activist,0.36,0.0,0.59
ginger-hair,0.36,0.08,0.54
hippy,0.36,0.08,0.54
straw-hat,0.36,0.0,0.59
khaki-dress,0.33,0.53,0.2
velvet,0.33,0.38,0.29
cycling-pants,0.33,0.08,0.49
panelled,0.33,0.15,0.44
oversize-denim,0.33,0.46,0.24
shades-of-colour,0.33,0.46,0.24
fuchsia,0.33,0.3,0.34
one-colour-head-to-toe,0.33,0.23,0.39
pintucked,0.33,0.68,0.1
cobalt,0.33,0.46,0.24
white-suit,0.33,0.15,0.44
floppy-tie,0.33,0.3,0.34
sequin-top,0.33,0.23,0.39
silver-top,0.33,0.23,0.39
rainbow,0.33,0.0,0.54
total-green,0.33,0.0,0.54
camouflage,0.33,0.0,0.54
bell-pants,0.33,0.61,0.15
grey-suit,0.33,0.08,0.49
opulent,0.33,0.3,0.34
pocket-shirt,0.3,0.38,0.24
destroyed-denim,0.3,0.53,0.15
grey-coat,0.3,0.15,0.39
tudor,0.3,0.68,0.05
black-jumpsuit,0.3,0.15,0.39
brown-dress,0.3,0.23,0.34
square-neck,0.3,0.38,0.24
check-coat,0.3,0.08,0.44
fitted-knit,0.3,0.46,0.2
perfecto,0.3,0.38,0.24
fairy,0.3,0.53,0.15
playsuit,0.3,0.23,0.34
patterned-blazer,0.3,0.15,0.39
mermaid,0.3,0.23,0.34
polo-dress,0.3,0.08,0.44
slit-pants,0.3,0.0,0.49
green-coat,0.3,0.0,0.49
lime,0.3,0.0,0.49
wrap-top,0.3,0.23,0.34
paint,0.3,0.0,0.49
total-orange,0.3,0.0,0.49
chinoiserie,0.3,0.0,0.49
white-shorts,0.3,0.23,0.34
total-denim,0.3,0.3,0.29
anorak,0.3,0.0,0.49
red-and-pink,0.3,0.0,0.49
reefer,0.3,0.0,0.49
poetic,0.3,0.0,0.49
blue-shorts,0.3,0.08,0.44
badge,0.3,0.61,0.1
oversize-hat,0.3,0.0,0.49
taffetas,0.27,0.68,0.0
short-sleeves-on-long-sleeves,0.27,0.08,0.39
studs,0.27,0.53,0.1
red-jacket,0.27,0.15,0.34
uniform,0.27,0.15,0.34
perforated,0.27,0.68,0.0
orange-pants,0.27,0.3,0.24
asia,0.27,0.3,0.24
overcoat,0.27,0.23,0.29
casual-tailoring,0.27,0.68,0.0
face,0.27,0.53,0.1
round-buckle,0.27,0.08,0.39
chain,0.27,0.0,0.44
cargo-pants,0.27,0.0,0.44
polka-dot-top,0.27,0.08,0.39
pencil-dress,0.27,0.0,0.44
navy-blue-coat,0.27,0.0,0.44
blue-suit,0.27,0.23,0.29
elevated-sportswear,0.27,0.08,0.39
tartan,0.27,0.23,0.29
scotland,0.27,0.23,0.29
belle-epoque,0.27,0.0,0.44
light-green,0.27,0.0,0.44
scarf-print,0.27,0.0,0.44
bubble-skirt,0.27,0.0,0.44
black-leather,0.24,0.61,0.0
sleeveless-coat,0.24,0.3,0.2
navy-blue-jumper,0.24,0.08,0.34
fortuni-pleats,0.24,0.38,0.15
cocoon,0.24,0.08,0.34
