slug,look,type,season,designer,city,models,keywords
68890,26,woman,spring-summer-2018,mary-katrantzou,london,['aira-ferreira'],"['high-necked', 'drawstring', 'short-sleeves', 'neoprene', 'dress', 'mini-dress', 'frill', 'embellishment', 'embroidery', 'doll', 'nautical', 'beach', 'urban', 'technical', 'opposite-style', 'fabric-mix', 'hybrid', 'surf', 'contoured-body', 'belt-over', 'brown-hair']"
68881,17,woman,spring-summer-2018,mary-katrantzou,london,['nastya-cherkasova'],"['polka-dot', 'yellow', 'bold-colours', 'fringes', 'shirt', 'sleeveless', 'collar', 'nylon', 'pocket', 'utility', 'technical', 'skirt', 'midi-skirt', 'embellishment', 'beading', 'aztec', 'ethnic', 'frayed-bottom', 'pocket-shirt', 'long-fringes', 'fringed-skirt', 'embellished-collar']"
68883,19,woman,spring-summer-2018,mary-katrantzou,london,['ratner'],"['check', 'dress', 'high-necked', 'short-sleeves', 'drawstring', 'midi-dress', 'patchwork', 'multicolour', 'embellishment', 'high-necked-dress']"
68889,25,woman,spring-summer-2018,mary-katrantzou,london,['nina-marker'],"['dress', 'mini-dress', 'neoprene', 'stitch', 'nautical', 'beach', 'embellishment', 'beading', 'doll', 'high-necked', 'urban', 'babydoll', 'steep', 'opposite-style', 'long-sleeves', 'mini', 'high-necked-dress', 'hybrid', 'surf', 'belt-over']"
68880,16,woman,spring-summer-2018,mary-katrantzou,london,['sasha-komarova'],"['fringes', 'red', 'red-dress', 'dress', 'sleeveless', 'round-neck', 'embellishment', 'beading', 'midi-dress', 'aztec', 'ethnic', 'red-and-pink', 'frayed-bottom', 'fringed-dress']"
68882,18,woman,spring-summer-2018,mary-katrantzou,london,['estelle-nehring'],"['bold-colours', 'graphic', 'pocket', 'drawstring', 'dress', 'midi-dress', 'patchwork', 'nylon', 'technical', 'flash', 'pencil-dress', 'girly', 'urban', 'red-and-pink', 'windbreaker']"
68886,22,woman,spring-summer-2018,mary-katrantzou,london,['wangy-xinyu'],"['drawstring', 'coat', 'long-coat', 'pocket', 'blue', 'nylon', 'dress', 'patchwork', 'midi-dress', 'urban', 'sport', 'nautical', 'windbreaker']"
68885,21,woman,spring-summer-2018,mary-katrantzou,london,['manuela-sanchez'],"['check', 'sleeveless', 'drawstring', 'dress', 'midi-dress', 'check-dress', 'brown-hair']"
68868,3,woman,spring-summer-2018,mary-katrantzou,london,['sarah-berger'],"['floral', 'dress', 'floral-dress', 'bold-floral', 'nylon', 'volume', 'high-necked', 'technical', 'grey', 'urban', 'bubble-skirt', 'floral-print', 'windbreaker', 'blond-hair']"
68876,11,woman,spring-summer-2018,mary-katrantzou,london,['mckenna-hellam'],"['technical', 'khaki', 'parka', 'drawstring', 'nylon', 'high-necked', 'floral', 'cut-out', 'dress', 'midi-dress', 'volume', 'urban', 'high-necked-dress', 'brown-hair']"
68873,8,woman,spring-summer-2018,mary-katrantzou,london,['alyssa-traore'],"['floral', 'floral-dress', 'sleeveless', 'high-necked', 'dress', 'mini-dress', 'volume', 'check', 'embellishment', 'bold-floral', 'asymmetrical', 'asymmetrical-dress', 'doll', 'babydoll', 'high-necked-dress', 'floral-print', 'belt-over', 'brown-hair']"
68893,29,woman,spring-summer-2018,mary-katrantzou,london,['hiandra-martinez-1'],"['floral', 'bold-colours', 'orange', 'pink', 'jacket', 'high-necked', 'cropped-jacket', 'drawstring', 'short-sleeves', 'floral-jacket', 'skirt', 'volume', 'mini-skirt', 'floral-skirt', 'doll', 'technical', 'babydoll', 'urban', 'short-sleeved-jacket', 'paperbag', 'bubble-skirt', 'orange-jacket', 'brown-hair']"
68896,32,woman,spring-summer-2018,mary-katrantzou,london,['kirin-dejonckheere'],"['pink', 'floral', 'floral-dress', 'drawstring', 'volume', 'short-sleeves', 'high-necked', 'broderie-anglaise', 'doll', 'babydoll', 'girly', 'mini-dress', 'technical', 'total-floral']"
68891,28,woman,spring-summer-2018,mary-katrantzou,london,['manuela-miloqui'],"['blue', 'jacket', 'light-blue', 'blue-jacket', 'cropped-jacket', 'high-necked', 'short-sleeves', 'drawstring', 'technical', 'floral', 'floral-jacket', 'skirt', 'volume', 'mini-skirt', 'floral-skirt', 'doll', 'urban', 'short-sleeved-jacket', 'bubble-skirt', 'slogan', 'brown-hair']"
68879,15,woman,spring-summer-2018,mary-katrantzou,london,['emm-arruda'],"['fringes', 'green', 'sleeveless', 'embellishment', 'metal', 'aztec', 'dress', 'green-dress', 'midi-dress', 'beading', 'strass', 'tropical', 'frayed-bottom', 'fringed-dress', 'brown-hair']"
68871,6,woman,spring-summer-2018,mary-katrantzou,london,['runa-neuwirth'],"['floral', 'bold-floral', 'polka-dot', 'black-white', 'pattern-mix', 'print', 'pattern', 'balloon-sleeves', 'coat', 'pocket', 'skirt', 'floral-dress', 'volume', 'midi-skirt', 'drawstring', 'bubble-skirt', 'black-white-polka-dot', 'floral-print', 'polka-dot-jacket', 'belt-over']"
68877,12,woman,spring-summer-2018,mary-katrantzou,london,['mia-brammer'],"['polka-dot', 'khaki', 'jacket', 'khaki-jacket', 'cropped-jacket', 'pocket', 'shirt', 'khaki-shirt', 'nylon', 'high-waist', 'highwaist-skirt', 'midi-skirt', 'ruffle', 'print', 'pattern', 'volume', 'drawstring', 'bold-polka-dot', 'pocket-jacket', 'polka-dot-skirt', 'polka-dot-jacket', 'rolled-up-sleeves']"
68870,5,woman,spring-summer-2018,mary-katrantzou,london,['leah-rodl'],"['bold-colours', 'pink', 'red', 'balloon-sleeves', 'high-necked', 'drawstring', 'statement-sleeves', 'dress', 'nylon', 'volume', 'short-sleeves', 'technical', 'doll', 'urban', 'red-and-pink', 'bubble-skirt', 'high-necked-dress', 'blond-hair']"
68892,27,woman,spring-summer-2018,mary-katrantzou,london,['jay-jankowska'],"['dress', 'drawstring', 'neoprene', 'high-necked', 'mini-dress', 'stitch', 'short-sleeves', 'warrior', 'nautical', 'embellishment', 'embroidery', 'volume', 'doll', 'opposite-style', 'fabric-mix', 'mini', 'high-necked-dress', 'surf', 'belt-over']"
68869,4,woman,spring-summer-2018,mary-katrantzou,london,['line-kjaergaard'],"['floral', 'floral-dress', 'mini-dress', 'dress', 'high-necked', 'cut-out', 'sleeveless', 'volume', 'bold-floral', 'piping', 'nylon', 'drawstring', 'doll', 'urban', 'technical', 'halterneck', 'high-necked-dress', 'floral-print']"
68875,10,woman,spring-summer-2018,mary-katrantzou,london,['nora-attal'],"['floral', 'high-necked', 'short-sleeves', 'bold-floral', 'skirt', 'high-waist', 'highwaist-skirt', 'drawstring', 'nylon', 'volume', 'technical', 'ruffle', 'midi-skirt', 'doll', 'trapeze-skirt', 'floral-print']"
68901,37,woman,spring-summer-2018,mary-katrantzou,london,['sarah-berger'],"['floral', 'floral-dress', 'bold-floral', 'cut-out', 'short-sleeves', 'volume', 'dress', 'sequin', 'beading', 'embellishment', 'asymmetrical', 'asymmetrical-dress', 'royal', 'princess', 'red-carpet', 'evening-wear', 'high-low-hem', 'total-floral', 'high-necked-dress', 'blond-hair']"
68900,36,woman,spring-summer-2018,mary-katrantzou,london,['leah-rodl'],"['floral', 'bold-floral', 'sequin', 'dress', 'floral-dress', 'drawstring', 'short-sleeves', 'balloon-sleeves', 'midi-dress', 'volume', 'beading', 'embellishment', 'party', 'evening-wear', 'cocktail', 'red-carpet', 'sparkling', 'blond-hair']"
68899,35,woman,spring-summer-2018,mary-katrantzou,london,['cara-taylor'],"['floral', 'floral-dress', 'bold-floral', 'sequin', 'drawstring', 'midi-dress', 'sleeveless', 'high-necked', 'volume', 'dress', 'evening-wear', 'cocktail', 'total-floral', 'brown-hair']"
68895,31,woman,spring-summer-2018,mary-katrantzou,london,['marjan-jonkman'],"['blue', 'bold-colours', 'floral', 'floral-dress', 'blue-dress', 'drawstring', 'high-necked', 'sleeveless', 'volume', 'broderie-anglaise', 'girly', 'technical', 'doll', 'blond-hair']"
68894,30,woman,spring-summer-2018,mary-katrantzou,london,['he-cong'],"['pink', 'floral', 'off-the-shoulder', 'drawstring', 'dress', 'mini-dress', 'broderie-anglaise', 'volume', 'doll', 'frill', 'babydoll', 'girly', 'fabric-mix', 'black-hair']"
68898,34,woman,spring-summer-2018,mary-katrantzou,london,['elibeidy-danis'],"['sequin', 'floral', 'bold-floral', 'floral-dress', 'sleeveless', 'volume', 'mini-dress', 'dress', 'party', 'evening-wear', 'cocktail', 'halterneck', 'total-floral', 'sparkling', 'black-hair']"
68888,24,woman,spring-summer-2018,mary-katrantzou,london,['oumie-jammeh'],"['dress', 'drawstring', 'grey', 'balloon-sleeves', 'short-sleeves', 'high-necked', 'midi-dress', 'embellishment', 'beading', 'print', 'pattern', 'urban', 'nautical', 'high-necked-dress', 'short-hair']"
68887,23,woman,spring-summer-2018,mary-katrantzou,london,['shujing-zhou'],"['dress', 'print', 'pattern', 'pattern-mix', 'high-necked', 'drawstring', 'fitted', 'beading', 'embellishment', 'balloon-sleeves', 'short-sleeves', 'urban', 'short-hair', 'pattern-all-over']"
68867,2,woman,spring-summer-2018,mary-katrantzou,london,['felice-noordhoff'],"['floral', 'floral-dress', 'dress', 'bold-floral', 'sleeveless', 'cut-out', 'volume', 'high-necked', 'piping', 'nylon', 'drawstring', 'technical', 'urban', 'halterneck', 'floral-print', 'chestnut-hair']"
68866,1,woman,spring-summer-2018,mary-katrantzou,london,['silke-van-daal'],"['bold-colours', 'yellow', 'balloon-sleeves', 'nylon', 'technical', 'drawstring', 'shirt', 'yellow-shirt', 'skirt', 'highwaist-skirt', 'high-waist', 'grey', 'grey-skirt', 'volume', 'midi-skirt', '1980', 'short-sleeves', 'bubble-skirt']"
67466,1,woman,spring-summer-2018,house-of-holland,london,['adesuwa-aighewi'],"['sweatshirt', 'slogan', 'graphic', 'hoodie', 'eyelet', 'drawstring', 'logo-sweatshirt', 'print', 'pattern', 'white', 'skirt', 'midi-skirt', 'bicolour', 'red', 'fluid', 'wave', 'long-sleeves', 'ribs', 'black-hair']"
67625,28,woman,spring-summer-2018,house-of-holland,london,['adesuwa-aighewi'],"['orange', 'monochrome', 'spaghetti-strap', 'crop-top', 'skirt', 'velvet', 'wave', 'cut-out', 'midi-skirt', 'orange-skirt', 'pattern', 'total-look', 'fluid', 'total-orange', 'colourful-velvet', 'total-monochrome-look', 'pattern-all-over', 'black-hair']"
67306,31,woman,spring-summer-2018,fashion-east,london,['adesuwa-aighewi'],"['destroy', 'hole', 'top', 'asymmetrical', 'fishnet', 'hippy', 'green', 'metallic', 'frayed', 'shorts', 'print', 'pattern', 'pattern-mix', 'logo', 'black-hair']"
20091,7,woman,spring-summer-2017,topshop,london,['adrienne-juliger'],"['animal', 'zebra', 'jungle', 'dress', 'slit', 'midi-dress', 'black-white', 'animal-print', 'slit-dress', 'high-slit']"
19965,14,woman,spring-summer-2017,mary-katrantzou,london,['adrienne-juliger'],"['body', 'top', 'geometric', 'psychedelic', 'turtleneck', 'dress', 'metal', 'metallic', 'glitter', 'midi-dress', 'circus', 'disco', 'turtleneck-dress', 'high-necked-dress', 'high-necked-top']"
20028,13,woman,spring-summer-2017,temperley-london,london,['blanca-padilla'],"['top', 'embroidery', 'transparent', 'floral', 'folk', 'folkloric', 'flamenco', 'skirt', 'midi-skirt', 'peplum', 'patch', 'pink', 'pink-skirt', 'girly', 'spain', 'teenager', 'high-waist', 'highwaist-skirt']"
